Year,Month,Datum,Nabijeni
2018,1,2018-01-05 0:00:00,455
2018,1,2018-01-06 0:00:00,874
2018,1,2018-01-07 0:00:00,1169
2018,1,2018-01-08 0:00:00,786
2018,1,2018-01-09 0:00:00,1432
2018,1,2018-01-10 0:00:00,1544
2018,1,2018-01-11 0:00:00,1557
2018,1,2018-01-12 0:00:00,1863
2018,1,2018-01-13 0:00:00,1523
2018,1,2018-01-14 0:00:00,1239
2018,1,2018-01-15 0:00:00,831
2018,1,2018-01-16 0:00:00,795
2018,1,2018-01-17 0:00:00,581
2018,1,2018-01-18 0:00:00,1471
2018,1,2018-01-19 0:00:00,1706
2018,1,2018-01-20 0:00:00,1168
2018,1,2018-01-21 0:00:00,797
2018,1,2018-01-22 0:00:00,725
2018,1,2018-01-23 0:00:00,790
2018,1,2018-01-24 0:00:00,1274
2018,1,2018-01-25 0:00:00,1353
2018,1,2018-01-26 0:00:00,1171
2018,1,2018-01-27 0:00:00,0
2018,1,2018-01-28 0:00:00,1937
2018,1,2018-01-29 0:00:00,143
2018,1,2018-01-30 0:00:00,0
2018,1,2018-01-31 0:00:00,0
